City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Puerto Ayora,-0.74,-90.35,26.0,61,75,7.2,EC,1595360994
Chapais,49.78,-74.85,21.0,49,20,5.1,CA,1595361266
Pevek,69.7,170.31,9.7,59,100,2.1,RU,1595361266
Cape Town,-33.93,18.42,13.33,93,0,1.5,ZA,1595361261
Mataura,-46.19,168.86,3.89,83,93,1.34,NZ,1595361053
Carnarvon,-24.87,113.63,15.0,100,0,4.1,AU,1595361054
Vaini,-21.2,-175.2,14.0,93,20,0.82,TO,1595361154
Cimarron Hills,38.86,-104.7,27.22,41,40,4.6,US,1595361267
Rikitea,-23.12,-134.97,19.11,63,92,8.07,PF,1595360996
Umba,66.69,34.34,13.81,81,64,2.11,RU,1595361162
Acapulco de Juárez,16.86,-99.89,29.0,74,75,2.1,MX,1595360946
Jamestown,42.1,-79.24,26.11,73,40,2.6,US,1595361162
Hobart,-42.88,147.33,8.0,65,100,5.7,AU,1595360990
Hermanus,-34.42,19.23,10.0,95,0,1.17,ZA,1595361054
Coyhaique,-45.58,-72.07,3.0,69,75,6.7,CL,1595361154
Muravlenko,63.79,74.52,9.45,66,0,5.42,RU,1595361163
Busselton,-33.65,115.33,13.89,75,3,5.34,AU,1595360998
Pemberton,50.32,-122.8,25.0,44,75,1.5,CA,1595361163
Kapaa,22.08,-159.32,29.44,74,75,6.7,US,1595361268
Peremyshlyany,49.67,24.56,17.0,88,8,1.0,UA,1595361269
Ribeira Grande,38.52,-28.7,23.0,69,40,3.6,PT,1595361000
Katsuura,35.13,140.3,25.0,91,100,4.11,JP,1595361164
Port Alfred,-33.59,26.89,19.53,34,0,4.16,ZA,1595361000
Bonthe,7.53,-12.51,25.01,88,100,4.28,SL,1595361164
Buribay,51.96,58.16,18.32,88,100,3.07,RU,1595361269
New Norfolk,-42.78,147.06,7.78,85,100,0.89,AU,1595361269
Merauke,-8.47,140.33,23.95,89,88,4.5,ID,1595361002
Saint Paul Harbor,57.79,-152.41,21.0,46,1,6.2,US,1595361269
Ushuaia,-54.8,-68.3,2.0,85,94,2.06,AR,1595360989
Kudahuvadhoo,2.67,72.89,28.79,74,59,5.63,MV,1595361118
Celestún,20.87,-90.4,29.75,67,22,5.28,MX,1595361165
Albany,42.6,-73.97,31.11,41,4,3.76,US,1595360993
Bredasdorp,-34.53,20.04,14.0,87,0,3.6,ZA,1595361270
